d_donor_A,d_acceptor_A
1.213542220761292034e+00,1.362566103069207557e+00
1.212044678386130059e+00,1.363890625573914495e+00
1.210542892806225623e+00,1.365220679252634017e+00
1.209037215383705455e+00,1.366556046976324934e+00
1.207527804107494385e+00,1.367896663611167352e+00
1.206014278523847461e+00,1.369242706294240053e+00
1.204495410102541797e+00,1.370595620293370231e+00
1.202971025660500404e+00,1.371955856818183994e+00
1.201442349768672813e+00,1.373322263097055851e+00
1.199909746112495235e+00,1.374694275337820182e+00
1.198372759924920983e+00,1.376072178178425087e+00
1.196830931498353179e+00,1.377456702907628117e+00
1.195283962255230481e+00,1.378848229660549318e+00
1.193733002557862077e+00,1.380245450040647137e+00
1.192178721334786751e+00,1.381647958817320720e+00
1.190620317976115672e+00,1.383056537276493358e+00
1.189058463448361858e+00,1.384470360327800131e+00
1.187492001978593503e+00,1.385890616759435812e+00
1.185921670984518173e+00,1.387316473192321320e+00
1.184348000006456347e+00,1.388747232660334952e+00
1.182770742567945010e+00,1.390183389794123592e+00
1.181190018535870134e+00,1.391624978201524643e+00
1.179606843540484951e+00,1.393070882912828212e+00
1.178020644183336740e+00,1.394521921453754754e+00
1.176431205814668646e+00,1.395978356786371055e+00
1.174839417139490028e+00,1.397439458973869675e+00
1.173244720801188024e+00,1.398905720155897647e+00
1.171646413035407175e+00,1.400377819856216455e+00
1.170044674459356004e+00,1.401855442856023926e+00
1.168439037651905599e+00,1.403339232052527308e+00
1.166829969636149045e+00,1.404828793014011534e+00
1.165218659288870251e+00,1.406322899280673111e+00
1.163604797751905950e+00,1.407822026887461941e+00
1.161988299238758904e+00,1.409326329110963893e+00
1.160369933850906143e+00,1.410834736908248788e+00
1.158748279341457410e+00,1.412348792083241822e+00
1.157124484801463682e+00,1.413867342939935989e+00
1.155498581244779333e+00,1.415390484018365758e+00
1.153870917189487644e+00,1.416917947466370675e+00
1.152241693641161024e+00,1.418449631443260417e+00
1.150610124522673416e+00,1.419986326573730695e+00
1.148975292796109882e+00,1.421528726417372601e+00
1.147338215774774905e+00,1.423075840248360091e+00
1.145698251526638956e+00,1.424628531198622872e+00
1.144056119656921666e+00,1.426186271620620838e+00
1.142412162149891497e+00,1.427748607027038874e+00
1.140766298052038330e+00,1.429315609973491386e+00
1.139118259742147865e+00,1.430887581584795676e+00
1.137468561983109971e+00,1.432464082187556276e+00
1.135816977096150149e+00,1.434045424300166571e+00
1.134163723933135914e+00,1.435631508485942565e+00
1.132508278027894333e+00,1.437222680905168692e+00
1.130850957661480249e+00,1.438818765254990639e+00
1.129192005904213758e+00,1.440419637634157590e+00
1.127531848501870160e+00,1.442025020366891397e+00
1.125870974193893481e+00,1.443634605226947976e+00
1.124209520360496706e+00,1.445247989825949375e+00
1.122547497479694956e+00,1.446865223461207828e+00
1.120884395585073579e+00,1.448486838736164017e+00
1.119221766377433314e+00,1.450111305471196710e+00
1.117560046918304462e+00,1.451738271001145053e+00
1.115898421024740683e+00,1.453368834123917042e+00
1.114237650369953814e+00,1.455002181171392461e+00
1.112578180536596628e+00,1.456637510789916101e+00
1.110920268546663925e+00,1.458274951068487146e+00
1.109264760088137791e+00,1.459913618507382216e+00
1.107611580071664603e+00,1.461553740164470483e+00
